stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
"Doberlug-Kirchhain, Bahnhof",,424983,51.62061,13.564187,1
Dobova,,370720,45.89839,15.655178,1
Dobova,370720,329115,45.89839,15.655178,
Dobova(Gr),,648384,45.890633,15.680238,1
Dobova(Gr),648384,22219,45.890633,15.680238,
Donaueschingen,479430,119131,47.94808,8.498727,
Donaueschingen,479430,534569,47.94801,8.4987,
Donaueschingen Bahnhof,,479430,47.94753,8.499428,1
Donauwörth,,65346,48.714024,10.771447,1
Donauwörth,65346,139581,48.71402,10.771564,
Donauwörth,65346,670632,48.71413,10.771654,
Dorfgastein,,333219,47.23867,13.103062,1
Dorfgastein,333219,222176,47.23867,13.103062,
Dornbirn,,489766,47.41769,9.738808,1
Dornbirn,489766,566748,47.41769,9.738808,
Dortmund Hbf,,152251,51.51689,7.459592,1
Dortmund Hbf,152251,110826,51.517723,7.458775,
Dortmund Hbf,152251,199019,51.518063,7.458685,
Dortmund Hbf,152251,49085,51.517883,7.458721,
Dortmund Hbf,152251,611977,51.51796,7.458703,
Dortmund Hbf,152251,673225,51.517895,7.45929,
Dortmund Hbf,152251,69384,51.5176,7.458793,
Dortmund Hörde Bf,,597774,51.488186,7.499918,1
Dortmund-Hörde,597774,411412,51.487774,7.500286,
Dresden Bahnhof Neustadt,,265782,51.065426,13.740882,1
Dresden Hauptbahnhof,,355727,51.03993,13.732932,1
Dresden Hbf,355727,172134,51.040016,13.731531,
Dresden Hbf,355727,232668,51.039875,13.731396,
Dresden Hbf,355727,318646,51.040684,13.731863,
Dresden-Neustadt,265782,131634,51.066017,13.740352,
Dresden-Neustadt,265782,195017,51.06591,13.740541,
Dresden-Neustadt,265782,208024,51.065994,13.740424,
Dresden-Neustadt,265782,442106,51.066097,13.740235,
Dresden-Neustadt,265782,605204,51.0659,13.740701,
Duisburg Hbf,,323412,51.430454,6.774528,1
Duisburg Hbf,323412,159370,51.429867,6.776882,
Duisburg Hbf,323412,225546,51.43,6.775696,
Duisburg Hbf,323412,303470,51.43001,6.775624,
Duisburg Hbf,323412,373042,51.42997,6.775902,
Duisburg Hbf,323412,493824,51.42987,6.776801,
Duisburg Hbf,323412,6982,51.429836,6.777088,
Duisburg Hbf,323412,73148,51.429787,6.775903,
Düren,,72753,50.809517,6.482451,1
Düren,72753,348228,50.809517,6.482451,
Düsseldorf Flughafen,269262,103661,51.292007,6.786836,
Düsseldorf Flughafen,269262,13883,51.29135,6.786853,
Düsseldorf Flughafen,269262,626537,51.291367,6.787158,
Düsseldorf Hbf,,635922,51.220253,6.792997,1
Düsseldorf Hbf,635922,284522,51.219543,6.794776,
Düsseldorf Hbf,635922,35760,51.219315,6.795261,
Düsseldorf Hbf,635922,391327,51.219505,6.794866,
Düsseldorf Hbf,635922,401230,51.219433,6.795027,
Düsseldorf Hbf,635922,454060,51.220093,6.793644,
Düsseldorf Hbf,635922,554098,51.219612,6.794632,
Düsseldorf Hbf,635922,59681,51.219963,6.794319,
Düsseldorf Hbf,635922,607964,51.219395,6.795099,
Eberswalde Hbf,560273,259086,52.83376,13.796866,
Eberswalde Hbf,560273,263096,52.833805,13.796755,
"Eberswalde, Hauptbahnhof",,560273,52.833683,13.79695,1
Eindhoven Centraal,,78153,51.44302,5.479576,1
Eindhoven Centraal,78153,163866,51.44302,5.479576,
Eisenach Hbf,613497,576009,50.975952,10.331229,
"Eisenach, Hbf",,613497,50.976894,10.331974,1
Ellwangen,417586,347525,48.96439,10.129664,
Ellwangen Bahnhof,,417586,48.964535,10.129762,1
Elsterwerda,68268,11778,51.46012,13.51666,
Elsterwerda,68268,240899,51.45942,13.516226,
Elsterwerda,68268,496386,51.459404,13.516305,
"Elsterwerda, Bahnhof",,68268,51.459805,13.516412,1
Emden Außenhafen,128167,330017,53.344498,7.186394,
Emden Hbf,486805,172107,53.36933,7.195423,
Emden(Ostfriesl) Außenhafen,,128167,53.344498,7.186394,1
Emden(Ostfriesl) Hbf,,486805,53.36925,7.195502,1
Emmerich(Gr),,39294,51.901196,6.137652,1
Emmerich(Gr),39294,303640,51.901196,6.137652,
Engen,655415,142501,47.856346,8.772786,
Engen,655415,644752,47.8561,8.772597,
Engen Bahnhof,,655415,47.856007,8.772561,1
"Erfurt, Hauptbahnhof",,365030,50.972057,11.037305,1
Ergenzingen,378900,140021,48.489243,8.809751,
Ergenzingen,378900,26,48.48959,8.810191,
Ergenzingen Bahnhof,,378900,48.489594,8.809949,1
Erkelenz,,663201,51.076595,6.321634,1
Erkelenz,663201,434435,51.076595,6.321634,
Erlangen,,660121,49.595825,11.00164,1
Erlangen,660121,290609,49.596188,11.001685,
Erlangen,660121,502895,49.596157,11.001488,
Erlangen,660121,674163,49.59583,11.001638,
Essen Hbf,,486071,51.449734,7.012213,1
Essen Hbf,486071,316747,51.451736,7.013938,
Essen Hbf,486071,391910,51.45159,7.013956,
Essen Hbf,486071,453546,51.45151,7.013974,
Essen Hbf,486071,510310,51.451363,7.014001,
Esslingen (N),,446930,48.73854,9.300582,1
Esslingen(Neckar),446930,305787,48.738544,9.300522,
Eutingen im Gäu,195541,279952,48.479736,8.782361,
Eutingen im Gäu Bahnhof,,195541,48.47957,8.781643,1
Feldkirch,,332862,47.24098,9.604102,1
Feldkirch,332862,397478,47.24098,9.604102,
Fieberbrunn,,254905,47.49114,12.528944,1
Fieberbrunn,254905,592867,47.49114,12.528944,
Finnentrop,97362,305225,51.1729,7.96467,
Finnentrop Bf,,97362,51.173046,7.964562,1
Fischen,,300164,47.456596,10.271723,1
"Fischen, Bahnhof",300164,155223,47.4566,10.271032,
Flensburg,,310666,54.774048,9.436687,1
Flensburg,310666,196736,54.773857,9.436511,
Flensburg,310666,528161,54.77395,9.436603,
Flensburg [Grenze],,344405,54.814842,9.36324,1
Flensburg(Gr),344405,273656,54.814842,9.36324,
"Flensburg, Flensburg",310666,421310,54.774227,9.436848,
Flughafen BER,,532914,52.364605,13.509874,1
Flughafen BER,532914,250098,52.364063,13.509307,
Flughafen BER,532914,402232,52.364323,13.509145,
Flughafen Köln/Bonn Bf,,618178,50.878902,7.119301,1
Flughafen Wien,,50231,48.120903,16.56307,1
Flughafen Wien,50231,562808,48.120903,16.56307,
Forbach(F),,663862,49.189217,6.900258,1
Forbach(F),663862,222261,49.189217,6.900258,
Forbach(fr),,459442,49.21409,6.944314,1
Forbach(fr),459442,506513,49.21409,6.944314,
Frankfurt (Main) Flughafen Fernbahnhof,,472324,50.052914,8.569788,1
Frankfurt (Main) Flughafen Regionalbahnhof,,45610,50.0512,8.571423,1
Frankfurt (Main) Hauptbahnhof,,259628,50.107155,8.663759,1
Frankfurt (Main) Südbahnhof,,473295,50.099327,8.686442,1
Frankfurt (Main) Westbahnhof,,317256,50.119446,8.639455,1
"Frankfurt (Oder), Bahnhof",,505329,52.336708,14.547147,1
Frankfurt(M) Flughafen Fernbf,472324,334825,50.053165,8.570177,
Frankfurt(M) Flughafen Regionalbf,45610,350679,50.0512,8.571423,
Frankfurt(M) Flughafen Regionalbf,45610,412961,50.05114,8.5712,
Frankfurt(Main)Hbf,259628,118069,50.10636,8.662772,
Frankfurt(Main)Hbf,259628,121577,50.10587,8.663474,
Frankfurt(Main)Hbf,259628,215108,50.106262,8.662941,
Frankfurt(Main)Hbf,259628,220030,50.107098,8.662068,
Frankfurt(Main)Hbf,259628,244006,50.106148,8.663123,
Frankfurt(Main)Hbf,259628,269750,50.104183,8.659307,
Frankfurt(Main)Hbf,259628,35092,50.10662,8.662561,
Frankfurt(Main)Hbf,259628,398065,50.106003,8.663306,
Frankfurt(Main)Hbf,259628,408279,50.106686,8.662504,
Frankfurt(Main)Hbf,259628,419448,50.107033,8.662124,
Frankfurt(Main)Hbf,259628,420791,50.106102,8.663151,
Frankfurt(Main)Hbf,259628,424613,50.1062,8.663011,
Frankfurt(Main)Hbf,259628,441880,50.10696,8.662195,
Frankfurt(Main)Hbf,259628,449314,50.1069,8.662237,
Frankfurt(Main)Hbf,259628,455239,50.10577,8.663461,
Frankfurt(Main)Hbf,259628,457716,50.1063,8.662814,
Frankfurt(Main)Hbf,259628,468443,50.10647,8.662687,
Frankfurt(Main)Hbf,259628,599273,50.10652,8.662645,
Frankfurt(Main)Hbf,259628,642228,50.106754,8.662378,
Frankfurt(Main)Hbf,259628,87700,50.10681,8.66235,
Frankfurt(Main)Süd,473295,181150,50.099003,8.686179,
Frankfurt(Main)Süd,473295,242705,50.099064,8.686108,
Frankfurt(Main)Süd,473295,415343,50.099205,8.685283,
Frankfurt(Main)West,317256,605810,50.11939,8.638952,
Frankfurt(Oder),505329,11240,52.336643,14.54624,
Frankfurt(Oder),505329,167109,52.336563,14.545988,
Frankfurt(Oder),505329,308703,52.336605,14.546146,
Frankfurt(Oder)(Gr),,645723,52.321175,14.576403,1
Frankfurt(Oder)(Gr),645723,21281,52.321175,14.576403,
Fredericia st,,542892,55.56809,9.738813,1
Fredericia st,542892,163052,55.56809,9.738813,
Freiberg(Sachs),256773,240331,50.908737,13.344644,
Freiberg(Sachs),256773,240914,50.908634,13.344572,
"Freiberg, Bahnhof",,256773,50.90936,13.342219,1
Freiburg Hauptbahnhof,,128038,47.996616,7.840442,1
Freiburg(Breisgau) Hbf,128038,317988,47.99773,7.841511,
Freiburg(Breisgau) Hbf,128038,319491,47.997765,7.841295,
Freiburg(Breisgau) Hbf,128038,326007,47.997704,7.841619,
Freiburg(Breisgau) Hbf,128038,394057,47.997696,7.84117,
Freilassing,,671295,47.836914,12.977197,1
Freilassing,671295,487063,47.83703,12.976586,
Freilassing,671295,514600,47.836205,12.977997,
Freilassing Bahnhof,671295,378674,47.83622,12.977907,
Frick,,141433,47.507164,8.01268,1
Frick,141433,201929,47.507164,8.01268,
Friedberg (Hessen) Bahnhof,,91706,50.332745,8.761246,1
Friedrichsh. Stadtbahnhof,,572163,47.653057,9.473426,1
Friedrichshafen Stadt,572163,195862,47.653084,9.473498,
Fulda,618652,230149,50.555016,9.683904,
Fulda Bahnhof,,618652,50.55492,9.683761,1
Fürth (Bay) Hbf,,586005,49.469707,10.989989,1
Fürth Hauptbahnhof,586005,632283,49.470367,10.991229,
Fürth(Bay)Hbf,586005,277028,49.469738,10.990079,
"GD, Bahnhof",,411759,48.800285,9.787118,1
Garmisch-Partenkirchen,,591148,47.491455,11.097014,1
Garmisch-Partenkirchen,591148,160770,47.491116,11.098326,
Garmisch-Partenkirchen,591148,560307,47.49107,11.098209,
Garmisch-Partenkirchen,591148,71143,47.49119,11.098515,
Gdansk Glowny,,516388,54.35552,18.643803,1
Gdansk Glowny,516388,21267,54.35552,18.643803,
Gdansk Oliwa,,130626,54.409893,18.571741,1
Gdansk Oliwa,130626,673348,54.409893,18.571741,
Gdansk Wrzeszcz,,373124,54.38186,18.605434,1
Gdansk Wrzeszcz,373124,631024,54.38186,18.605434,
Gdynia Glowna,,283331,54.52084,18.529556,1
Gdynia Glowna,283331,601241,54.52084,18.529556,
Geilenkirchen,,654535,50.96104,6.124518,1
Geilenkirchen,654535,297808,50.96104,6.124518,
Gelsenkirchen Hbf,,95821,51.504925,7.102206,1
Gelsenkirchen Hbf,95821,293690,51.50487,7.103141,
Gelsenkirchen Hbf,95821,379810,51.505142,7.103015,
Gelsenkirchen Hbf,95821,415291,51.5049,7.102455,
Gelsenkirchen Hbf,95821,444156,51.50504,7.103051,
Gelsenkirchen Hbf,95821,504064,51.504814,7.103177,
Gelsenkirchen Hbf,95821,557012,51.504982,7.103087,
Geltendorf,,119565,48.106358,11.036531,1
